english_sentences,hinglish_sentences
I believe the movie is a little bit of both. Bright for some scenes but dark for when things get gritty,muje lgta hai yeh movie dono bright scene or dark scene par based hai
Well shes wonderwoman she has super powers,wo ek wonderwoman hai uske pass super powers hai
so is it like a marvle movie,to wo marvle movie hai
Yes except its in The DC universe instead of Marvle ,haa marvle ke alava dc univerce hai
is it still out in theaters?,ye abhi tak cinemaghar se bahar hai?
I dont think so im pretty sure its out on Blu ray now,Mei ye nahi socha par mejhe vishvash hai ki ye blu ray mei bahar aayegi
Tell me about the movie,MOVIE KE BAARE MEIN BATAIE
I have never seen this movie.,MAINNE YAH MOVIE KABHEE NAHIN DEKHEE.
Do you know what it is about?,KYA AAP JAANATE HAIN KI YAH KIS BAARE MEIN HAI?
"No, I do not. I knwo it has some great actors in it like Tom Hanks and Meryl Streep. ",NAHIN MAIN NAHIN. MUJHE PATA HAI KI ISAMEN KUCHH BEHATAREEN KALAAKAAR HAIN JAISE TOM HAINKS AUR MERIL STREEP.
two of my favorites,MERE PASANDEEDA KE DO
Mine too. Have you seen this movie before?,MERA BHI. KYA AAPANE PAHALE YAH MOVIE DEKHEE HAI?
"No, not yet.",NAHIN ABHEE TAK NAHIN।
Do you want to see it?,KYA AAP ISE DEKHANA CHAAHATE HAIN?
I guess it woudnt be a bad idea to Google the movie and see what it is about. I wouldn't mind seeing it sonce it has Tom Hanks in it.,MUJHE LAGATA HAI KI YAH MOVIE KO GOOGLAI KE LIE EK BURA VICHAAR NAHIN HOGA AUR DEKHEN KI YAH KIS BAARE MEIN HAI. EK BAAR ISAMEN TOM HAINKS KO DEKHAKAR MUJHE BURA NAHIN LAGEGA.
He's funny,VAH MAJAAKIYA HAI
Google is a good idea. do you have a favorite movie site to shcek?,GOOGLE EK ACHHA VICHAR HAIN
Yeah he is. I love a lot of his movies.,YEAH VH HAI.MAIN USKE BAHUT SARE MOVIES PASAND KARTHA HOON
"Other than IMDB, no",IMDB KE ALAVA.NAHI
mine too,MAIN BHI
We should check it out then.,HUMKO CHECK KARNA CHAHIYE
Yes. How many movies do you watch per year?,AAP EK SAAL MEIN KITNE MOVIE DEKHTHE HAIN
Good question. A lot,ACHHI SAWAL.BAHUT SARE
what is your favorite genre?,AAP KA PASANDEEDA SHAILEE KYA HAIN?
Mine is thriller. I live Fatal Attraction,MUJHE ROMANCHAKARI . mujhe Fatal Atrraction pasand hain
I love other movies like that too',MUJHE VAISI THRAH  DOOSARI MOVIES BHI PASAND HAIN
Basic Instinct is my mom's fav,basic Instinct meri pasandida  moive hai
Do you watch a lot of movies?,kya tum bahut jayada movie dekhate ho?
Yes. About 2 a week,"haa, week mei do baar"
Love the old ones best,purani bahut payari hoti hai
Especially 80's movies,Especially 80's films
"My favorite genres are horror,  romantic comedy","mere pasandida genres horror,romantic or comedy hai"
do you like jim carey in comedy?,kya tum ko jim carey comedy mei pasand hai?
I love jim carey!,mujhe jim carey pasand hai!
Funny guy. Remember the elevator scene in Liar Liar? ,funny guy. Liar liar mei elevator ke scene ko yaad karo?
"
LOL",LOL
Lol! Yeah!,Lol! Haan!
What about kid's movies? I still like Shrek,kid movie ke bare mein kya kahoge?mujhe abhi bhi Shrek achi lagti hai
Shrek is funny! I love pretty much all kid movies.,Shrek funny hai! mujhe laghbhag sari kid movies pasand hain
Me too. good memories,"Mujhe bhi, good memories"
I haven't seen a lot of the old classics for a long time. ,maine purane time ki kafi classics bohat time se nahi dekhi
"I agree, good memories ","I agree, good memories"
They are worth rewatching.,wo worth-watching hain
Have you seen Gaslight?,kya tumne Gaslight dekhi hai?
"Scary, good movie","Scary, good movie hai"
Yes definitely ,han definitely
Time to sign out. Have a great day! ,sign out ka samay ho gaya. Apak day great ho!
No not gaslight ,na gaslight nahi
Watch Gaslight! ,Gaslight to dekho!
You too,you bhi
I will!,me will!
:) ,:)
"Hi, how are you?","hello, tum kaise ho?"
Good how about you,"Good, aur tum kaise ho"
Have you ever seen jaws?,kya tumne kabhi Jaws dekhi he?
No I haven't. Is it good?,"No, mene nahi dekhi. kya voh good he?"
It is amazing. It's about a man trying to save his beach side town from a crazy shark,kya amazing he.ye ek man ke bare me he jo ki apne beach side town ko crazy shark se save karne ki koshish kar raha he.
What about LA LA land? Have you seen that?,what about LA LA land? kya tumne vah dekha he?
Would you say it has a happy ending to it?,kya tumhe lagta he ki iski happy ending he?
I haven't seen LA LA land either. Which one would you recommend?,mene bhi La La land nahi dekha he.tum konsa recommend karoge.
Yes. They kill the Shark and get to relax and be happy in the end,"ha. ve shark ko kill karte he end me ,relax aur happy rahne ke liye"
"Aw man, spoilers haha","kya aadmi he, spoilers haha"
Honestly I would recommend jaws. It's such a great classic movie,eemaanadaaree se main jabade kee siphaarish karoonga. yah itanee behatareen klaasik philm hai
Why not La La land? Do you not like it?,kyon nahin la la laind? kya aapako yah pasand nahin hai?
What genre is La La land? ,kya shailee la la bhoomi hai?
LA LA land is OK but it doesn't compare to the action of Jews. I give it a 7.8 whereas jaws is a 9.1,"la la bhoomi theek hai, lekin yah yahoodiyon kee kaarravaee kee tulana nahin karata hai. main ise 7.8 deta hoon jabaki jabade 9.1 hai"
LA LA land is a musical romantic Comedy,la la bhoomi ek sangeetamay romaantik komedee hai
"Hmm, you might have to convince me a little more about Jaws just because I already know the ending. Since you said LA LA Land is a romantic comedy, is there any romance in Jaws?","hamm, tum mujhe jabade ke baare mein thoda aur samajhaane ke lie ho sakata hai kyonki main pahale se hee ant jaanata hoon. jab se aapane kaha tha ki la la laind ek romaantik komedee hai, kya joz mein koee romaans hai?"
And is LA LA Land based on a real story?,aur kya la la laind ek vaastavik kahaanee par aadhaarit hai?
No. Jaws has little romance,"nahin, jabade mein thoda romaans hai"
Hi,hi
hello. have you seen this movie?,"hello,  is movie ko dekha?"
"Yes, I've watched The Wolf of Wall Street.","haan, mein The wolf of wall street ko dekha"
How about you?,aapka?
I have not. do you agree with the rating of the move listed?,"mein nahi, aap rating ke move se agree karte?"
Yes.,haan
I agree with the rating of this movie.,mein is movie ka rating se agree kartha
For me the movie is average. Nothing special.,mere liye tho is movie average hein.. kuch special nahi
78% is still a good rating.,78% tho ache rating hein
do you think that Leo Dicaprio portrayal of Jordan was a good performance?,kya aap soche ki Leo dicaprio ka jordan ka portrayal acha performance hein?
"Yeah, I think so. But Dicaprio is not for comedy 
movie, in my opinion.","Ha,me socha hu.mere opinion me Dicaprio comedy movie nahi he"
Was the movie very funny?,Movie bahut funny tha?
"I wasn't sure what the genre "" black comedy"" referred to","Me pakka Nahi tha genre""black comedy"" referred tha"
"There are some scene that it is funny, example is when DiCaprio is scamming other people.","Waha kuch scene the jo funny the,je se ki jab Dicaprio dusre logo ko scamming kar raha tha"
"so it took place in the past, 1987?","To wah past me hua tha,ninteen eighteen seven?"
"Yes, it took place on 1987.","Ha,wo ninteen eighteen seven me hua tha"
You can ask me more about the movie. Don't be shy.,"Aap muje movie ke bare me jyada puch sakhte he,sarmaie mat"
"do you generally watch "" black comedy"" type of movies?","Kya aap generally ""black comedy"" type movie dekhte he?"
"No, honestly this is the only kind of black movie that I've watched.","Nahi, honestly ye ek black movie jesa he jo mene dekha"
I mean black comedy.,Mera matlab tha black comedy.
did you think the characters were dull?,KYA AAPKO NAHI LAGTHA CHARACTERS SAB DULL HEI
"When it comes to acting skills, I think they are not dull. Most of them are good actors.",ACTING SKILL KE SAATH THO VOH DULL NAHI HEIN.. ISME KAHI ACHE ACTORS BHI HEIN
"Based on the paragraph
, it sounds like Jordan was really smart to pull off the scheme that he did","PARAGRAPH KE ANUSAR, YEH JORDAN KE TARAH SOUNDS KARTHE JO REALLY SMART HEIN IS SCHEME KO PULLOFF KARNE KA"
22 million in 3 hours is CRAZY,"3 HOURS MEIN 22 MILLION, CRAZY HEIN YAR"
are you there?,AAP HEIN?
hi,hi
hello!,hello!
"The movie that was picked, I'","movie jo chuni gayi, 'I"
I've never seen. ,maine kabhi nahi dekhi
"Hello! do you like comedy, adventure, and animation movies?","Hello! Kya tumhe comedy, adventure, aur animation movie achhi lagti hain?"
Yes I like all of those genres. What do you think about the rating of this movie?,"Haan, mujhe woh genres achhe lagte hain. Tumhe iss movie ki ratings ke baare mein kya lagta hai?"
i think the ratings are good. Rotten tomatoes gave it an 89% and cinemascore gave it an A+,"Mujhe lagta hai ratings acchi hain. Rotten tomatoes ne 89% diya hai, aur cinemascore ne A+ diya hai."
Yes same here. It was very popular kids all wanted frozen themed everything. the story line was different from other Princess movies,haan aapake jaisa. yah bahut lokapriy tha bachche sab kuchh jame hue theemd chaahate the. kahaanee kee rekha any raajakumaaree philmon se alag thee
"yes, i thought it was a great disney movie with very cute characters","haan, mujhe laga ki yah bahut hee pyaare kiradaar vaalee ek behatareen philm thee"
What do you think about the cast? Kristen bell is one of my faves.,aap kalaakaaron ke baare mein kya sochate hain? kristan bel mere phevar mein se ek hai.
i think the cast is great with idina menzel who has a beautiful voice,"mujhe lagata hai ki kaast aaidiya menajel ke saath bahut achchhee hai, jisake paas ek khoobasoorat aavaaj hai"
"She was great, very distinctive voice. I think olof was the funniest.","vah mahaan, bahut vishisht aavaaj thee. mujhe lagata hai ki oloph sabase majedaar tha."
i was very impressed with the animation and how pretty the whole movie was,main eneemeshan se bahut prabhaavit tha aur pooree philm kitanee sundar thee
"The art was very nice, especially the ice castle scene.","kala bahut achchhee thee, vishesh roop se barph mahal drshy."
it was in 3d. do you watch movies in 3d or 2d usually?,yah 3 dee mein tha. kya aap aamataur par 3 dee ya 2 dee mein philmen dekhate hain?
When i can catch the movies in 3d i try to watch them. It's a different experience but can easily ruin a movie. What do you think,jab main 3 dee mein philmon ko pakad sakata hoon to main unhen dekhane kee koshish karata hoon. yah ek alag anubhav hai lekin aasaanee se ek philm ko barbaad kar sakata hai. tum kya sochate ho
i agree. it depends on the movie and the seats too,main sahamat hoon. yah philm aur seeton par bhee nirbhar karata hai
i thought it was sad when the parents died at sea,muje toh sad laga jab uska parents sea mein mar gaye the.
I like the rock family they were cute.,"muje voh rock family bahut pasand hein, voh cute hein"
"Do you think it will end up on B
roadway?",kya aap soch rahe ki yeh B roadway mein end hoga?
i think it will. the songs were so catchy,haan muje lag raha hein ki yeh jarur hoga. aur us songs toh bahut catchy hein
I like that the hero in the movie is Elsas younger sister and not the typical prince.,"muje voh hero ko pasand hein , voh toh Elsas ka choti bahen hein typical prince ke jaise bilkul nahi hein"
me too. I like that it was about family and sisters too. ,"muje bhi. muje bhi pasand hein , kyon ki voh toh family aur sisters ke baare mein hein."
Same here and being that I have two i could relate to how they felt about each other. ,"haan yar, muje bhi do behen hein, mein usse relate kar sakthe hoon."
i argree. i did not like Hans,mein maantha hoon. muje bhi Hans pasand nahi hein
who was your favorite character?,is me aapka favorite character kon hein?
"He was horribe, i did not like how he tried to make Ana the villain. But i did appreciate Kristoff and how helpful he was. ","voh toh horrible hein, aur muje usko pasand nahi hein  kyon ki voh Ana ko villain banane mein vyast ho raha tha. lekin mein Kristoff ko bhi appreciate karunga voh kitna helpful tha."
My favorite character was olof. How about you?,mera pasandeeda charitr olaph tha. aap kaise hain?
i liked anna. she was precious,mujhe ann pasand tha. vah anamol thee
did you like the ending,kya aapako ant pasand aaya
"What were your thoughts about the scene when Hans locked up elsa 
in that room.",us drshy ke baare mein aapake kya vichaar the jab hans ne us kamare mein elsa ko band kar diya tha.
it was scary. i was surprised since she liked hans so much at the start,yah bhayaanak tha. main hairaan tha kyonki vah shuroo mein itana hans pasand karatee thee
"Yes i loved the ending, i liked that the town saw that Elsa was not as bad as Hans made her to be, and that Kristoff and ana ended up together","haan, mujhe ant pasand aaya, mujhe yah pasand aaya ki shahar ne dekha ki elsa utana bura nahin tha jitana hans ne use banaaya tha, aur yah ki kristoph aur ana ek saath samaapt ho gae the"
me too. ,main bhee.
He was a character the deception was great,vah ek aisa charitr tha jisamen dhokhebaaj mahaan the
Hey!,Heyy
Hello!,Namaste!
This movie received mixed reviews,Is movie ko mixed reviews mile
What do you think about it?,iske baare me tumhari kya soch hai?
I think I might be the only girl who doesn't like the notebook,muje lagta hai mai hi ek aisi ladki hun jisse ye notebook ni pasand
I liked the timeline of the film but there were unnessasery amount of screen time spent on pointless moments.,mujhe movie ki timeline pasand aayi lekin screen time me bahut se bematlab moments the
Haha okay. I really like Ryan and Rachel so I'm assuming this movie is good. I haven't seen it yet though because the trailer looked cheesy.,haha okay. mujhe rachel or ryan bahut pasand hai to mujhe lgta hai ye movie acchi hai. maine abhi dekhi nhi hai but trailer cheesy sa laga.
Both actors are excellent in the film ,dono actors movie me excellent the
I haven't read the book either.,maine bhi ye book ni padhi
Nice,nice
I think I just have a biased opinion with Nicholas sparks books Made into films,mujhe lagta hai mera opinion biased hai nicholas sparks ki books ki movies ko leke
Do you read his books?,tum uski books read karte ho?
I think it's cute that he tries to buy her a house in scene 1,muje lagtha ki voh bada cute hein jab usne us scene1 mein ghar lena chatha
When i was 15 I read a few ,mein jab 15 ki thi tho mein usse thoda read kiya
Allie's mom seems rude,Allie ka mummy thoda rude thi
What do you think of scene 1,scene 1 ke baare mein aapka kya upai hein
Upper class family's in films always appear to be rude,upper class family logon tho kabhi bhi rude hi hote
Yeah,haan
The ending I think really does it for alot of people ,end mein muje kaafi logon ko dekhna mila
Okay so this is during the WOrld Wars,tho yeh world wars ke baare mein hein
I like the vintage look in the first scenes,muje vintage look pasand hein us first scene mein
It's getting sad at this point,yeh tho sad hote jaa raha hein is point mein
I think is 50/50 either you love it or hate it,Mujhe lagata hai ki 50/50 ya to aap ise love karate hain ya hate karate hain
"It seems like Noah's
 kind of like Gatsby in this scene since he's convinced a house is what will bring Allie",Aisa lagata hai ki is darshy mein nooh kee tarah Gatsby hai kyonki use vishvaas hai ki ek ghar hai jo allie laega
back to him,Vaapas usake paas
Material things ,Saamagree cheezen
Anne interferes too much,Ainee bahut interferes karatee hai
I'm glad Allie ends up with Noah,Mujhe khushee hai ki Allie Noah ke saath samaapt hota hai
I feel bad for Lon,Mujhe Lon kelie bura lag raha hai
What do you think of the last scene?,Tume  kya samajhate about last scene ?
"Eh, this film is like the love in titanic ",Yah movie titanic mein pyaar kee tarah hai
Hahah,Haha
There are great moments but over all the film is a bore,Movie mei bahut acha action hai but movie bahut bore hai.
I see,Mene dekha
The ending is one of those great moments ,Ye aant bhut acha hai
That's good to know,Yah samajane mei acha hai
It looks like we're done,Ye dekhane mei lagata hai ki hamane kiya
Nice talking to you,Aap se baat karke acha laga
hello there!,hello there!
Hey!,Hey!
how are you doing?,Aap kaise kar rahe ho?
I believe I am supposed to convey to you why you should read The Social Network,I believe ki mujhe aapko batana chahiye ki aapko kyun Social Network read karna chahiye.
"I'm well, thanks!","Me accha hun, thanks"
Social Network the movie?,Social Network ek movie hai?
Correct!,Sahi hai
What were you tasked with?,Aapko kya task sopa gaya tha?
To discuss a movie with you,Aapke sath movie ki charcha karne ka
try to gather info and decide if I want to watch it at the end,"Janakaaree ikattha karane ka try karen aur tay kare, agar main ise end mein dekhana chahata hu"
Which movie?,Kaun si Movie?
Well I watched The Social Movie about 5 years ago for the first time and highly enjoyed it. ,"Accha, maine pahali baar 5 saal pahale The Social Movie dekhi thi aur mujhe bahut maza aaya tha."
which ever movie you were tasked with to talk to me about - in this case the Social Network,Social Network ki koi bhi movie mein aapako mujse baat karane ka task saupa gaya tha
In particular Eisenberg's portrayal of Zuckerberg was highly compelling,"vises roop se, Zuckerberg ka Eisenberg ka chitran atyadhik sammohak tha"
and it's funny as well,aur wo funny bhi tha
Eisenberg is the lead actor?,kya Eisenberg pramukh actor hai?
"And if you did not attend an Ivy League university, it gives you a sneak peak of what life inside one may be like",aur agar tumne Ivy League university attend nahi kiya to ye tumhe sneak peek deti hai ki inke andar life kaisi hogi.
yes he is the lead actor,han wo lead actor hai
do you know which other movies he was in?,kya tum jante ho aur kis movies mein wo tha?
I'm not sure actually,actually main sure nahi hu
This is the only one of his that I know at all,ye iski only one hai jo mujhe pata hai
I hope he's not being typecast as Zuckerberg,I hope wo as Zuckerberg typecast nahi ho raha
Because he is a majorly talented actor,kyunki wo bohat talented actor hai
what other actors were there?,aur konse actors they isme
Justin Timberlake and Armie Hammer were also in it!,isme Justin Timberlake aur Armie Hammer bhi they
Timberlake was cool,Timberlake cool tha
He played the founder of Napster,usne napster ke founder ka role play kiya
and which was your favorite character?,aur tumhara favorite character kon tha?
Probably Eisenberg as Zuckerberg,Probably Eisenberg Zuckerberg ke rup me
wasn,wasn
wasn't the most likable character (that was probably Saverin) but he played the role incredbily well,kyun nahi sabse likable character (jo ki nishchit hi Saverin hai) par usne role ko incredbily well play kiya
a nuanced portrait,bahut hi nuanced portrait
so the film is entirely biographical?,to movie puri tarah se biographical hai
Yes,yes
although I know that Zuckerberg has complained about the accuracy of the plot,although mujhe pata hai ki zukerberg ne plot ki accuracy ke baare me complain ki hai
there's quite a bit of tension in it,isme kafi tension hai
"does it feature the ""evil twins""? (I forgot their names)","kya usme ""evil twins"" feature hote hain? (Main unka naam bhul gaya)"
Yes!,Han!
The Winklevoss twins!,Winklevoss twins!
although they don't sound/appear that evil in the film,although wo film mein evil nahi dikhte
they look cheated actually ,wo actually mein cheated lagey
what's your favorite scene?,tumhara favorite scene kya hai?
Probably the deposition of Zuckerberg,shayad Zuckerberg ki deposition
"when he's being investigated for fraudulently
 claiming he came up with the idea for Facebook",jab wo investigate ho raha tha fraudulently claim karne ke liye ki Facebook ka idea usne socha
how about the soundtrack? anything worth noting?,soundtrack kaisa hai? worth noting kuch hai?
Jaws was such a good movie!,Jaws kya good movie thi!
I agree. It was well made.,me agree karta hu. yah well made thi.
The scares were well timed.,scares well timed the
I liked the soundtrack.,mene soundtrack like kiya
What was your favorite part?,tumhara favorite part kon sa tha?
I think it was utilizing a location like Amity Island. It made me feel as if the plot could happen anywhere.,mujhe lagta he yah Amity Island jaisa location use kar raha he.mujhe aisa lagata he jaise plot kahi bhi ho sakta he.
Was the soundtrack your favorite part?,kya soundtrack tumhara favorite part tha?
"That makes sense. Yes, especially the part that it is so famous for. The sound they played whenever they wanted to increase the audience's fear and anxiety.","isme sense he. ha, especially voh part jiske liye ye itna famous he.jab bhi ve audience ki fear aur anxiety badana chahte the unhone ye sound play kiya."
Just another affirmation that Spielberg knew what he was doing even in post-production.,ek dusra affirmation ki Spielberg knew ki voh post-production me kya kar raha tha.
Do you usually like this type of movie?,kya aap aamataur par is tarah kee philm pasand karate hain?
"No doubt. He is very good at making movies. No, it is not my favorite kind. I am not much into jump scares. I like documentaries. How about you?","isamen koee shak nahin, vah philmen banaane mein bahut achchhe hain. nahin, yah meree pasandeeda kism nahin hai. main bahut jyaada dara hua nahin hoon. mujhe vrttachitr pasand hain. aap kaise hain?"
"I like this type of movie around Halloween; otherwise, I enjoy action films.","mujhe hailoveen ke aasapaas is tarah kee philm pasand hai; anyatha, mujhe ekshan philmon ka aanand milata hai"
That is understandable. Halloween is a good time to scare yourself. ,yah samajh mein aata hai.hailoveen khud ko daraane ka ek achchha samay hai.
What did you think of the mayor's reaction to the shark attack?,shaark ke hamale par meyar kee pratikriya ke baare mein aapane kya socha?
"I think it was greedy. I agree it is best not to panic the public, but putting people in danger out of greed is not okay.","mujhe lagata hai ki yah laalachee tha.main maanata hoon ki janata ko ghabaraana nahin chaahie, lekin laalach se logon ko khatare mein daalana theek nahin hai."
"Exactly, I thought it was neat to think of real world implications both fiscally and morally.","theek, mainne socha tha ki vaastavik duniya ke nihitaarth ko naitik aur naitik roop se donon ke baare mein sochana saaph tha."
Of how to present this to the public.,ise janata ke saamane kaise pesh kiya jae.
Which in the end resulted in a shark-hunting frenzy,jisake parinaamasvaroop ant mein ek shaark-shikaar unmaad paida hua
"I like to think of those things too. I did not like that part. I think I would have liked it better if the shark was led out to sea, but most people would probably not enjoy a movie like that, not enough drama.","un cheejon ke baare mein bhee sochana pasand karate hain.mujhe vah hissa pasand nahin tha.mujhe lagata hai ki shaark ko samudr tak le jaaya jaata to mujhe achchha lagata, lekin jyaadaatar log shaayad us tarah kee philm ka aanand nahin lenge, paryaapt naatak nahin"
You are right on that.,aap us par sahee hain.
It was nice to see characters such as Brody step up - though it took his son to go into shock in order to spur him to action.,brodee ke kadam jaise charitron ko dekhana achchha tha - haalaanki isane unake bete ko kaarravaee ke lie prerit karane ke lie sadame mein le liya.
I think Spielberg hit the nail on the head as far as portraying small town politics.,mujhe lagata hai ki speelabarg ne chhote shahar kee raajaneeti ko chitrit karane ke lie naakhoon par sir maara.
"Yes. It was realistic, though I think much of it applies to politics of all types. ","haan. yah yathaarthavaadee tha, haalaanki mujhe lagata hai ki yah sabhee prakaar kee raajaneeti par laagoo hota hai."
Money seems to always be highest priority.,paisa hamesha sarvochch praathamikata lagata hai.
"Unfortunately, true.",durbhaagyavash yah sach hai.
And sadly we do not get galvanized to action sometimes until tragedy strikes.,aur dukh kee baat yah hai ki hamen traasadee ke hamalon tak kabhee-kabhee kaarravaee ke lie jastee nahin milata hai.
Have you seen other Spielberg movies?,kya aapane any speelabarg philmen dekhee hain?
"Yes, he has his shining moments and some duds along the way. I feel that more of his movies fall into the former rather than latter category.","haan, usake paas apane chamakadaar kshan aur raaste mein kuchh yugal hain. mujhe lagata hai ki unakee adhik philmen baad kee shrenee ke bajaay poorv mein aatee hain."
You?,aap?
"I know I have and that his movies are usually really well made, but I cannot remember which movies are his. I am very bad at stuff like that.",hey muje toh unka  movies bahut pasand hein lakin unka movies muje yaad nahi aatha hein. mein yaad karne me thoda kamjor hoon
"I did not like the scuba part. I enjoy enjoy breathing
.","muje toh voh scuba part bilkul pasand nahi hein, magar voh breathing toh mein enjoy kar raha tha"
 I usually am as well.,mein tho aise hi hoon
"Sorry, for the typo.",maaf kar na us typo ko
No worries. Completely agree on breathing/ I would not be getting in the water even with a cage.,"jaane de yar, mein toh us breathing ko completely agree karunga, aur mein kabhi bhi us cage mein pani mein nahi jaavunga"
"Well, thanks for sharing this conversation with me. It seems that our time has come to an end. I hope you have a wonderful morning, afternoon, night wherever you are.","acha, aapse baath karne mein bahut dhanyavad. muje lagtha hein ki hamara time ab khatma ho raha hein, aapka din acha rahane ka mera subh kamna"
You as well.,aapko bhi
Hi! Today we'll be discussing Batman vs Superman!,Namaste! aaj ham batman vs superman kee charcha karenge!
Great! Do I need to watch any other DC Comic movies prior to watching this one?,Mahaan! kya mujhe ise dekhane se pahale kisee any dc comik movies dekhane kee jaroorat hai?
"I can't honestly say, however, as a critic noted ""it's better than Man of Steel but not as good as The Dark Knight"". ",mai sach nhi keh skta halaki ye man of steel se better hai lekin dark knight jitni achi nhi hai
Who are the lead actors? ,lead actors kon hai>
It follows 2013's Man of Steel so you would probably need to see it just to be safe...,ye 2013 ki man of steel ko follow krti hai so safely dekhna
"Batman, Superman and even wonder woman makes an appearance!","Batman, Superman aur wonder woman bhi hai isme"
"Haha! Do you know which actors play Batman, Superman, and Wonder Woman in this movie? ","Haha kya aap jante ho ki is film mai konse actor Batman, Superman, aur Wonder Womanrole ker rhe hai?"
"Ben Affleck plays Batman/Bruce Wayne, Henry Cavill plays Clark Kent/Superman. Gal Gadot stars in the film as well as Diane Lane as Martha Kent and Amy Adams as Louis Lane. Are you a fan of any of those actors?","Ben Affleck Batmanka Bruce Wayne, Henry Cavill Clark Kent Superman ka role paly ker rhe hai. Gal Gadot film mai Diane Lane Martha Kent ka aur Amy Adams Louis Lane ka role play ker rhe hai. kya tum in actors ke fan ho"
All but Ben Affleck. Lest super hero movie I saw him in was Daredevil and that was rough. Let's hope he's better in this. ,sabhi lekin Ben Affleck ki last super hero movie main usse Daredevils mai dekh tha wo mote tha hoskta hai isme kuch acha kam hoga
"Though, I am a Michael Keaton fan when it comes to Batman. I suspect anyone playing Batman who is not Keaton will be weird to me. ",halaki me batman mai Michael Keaton ka fan hu muje lgta hai ki koi or batman ka paly nhi ker payge jo michel keaton ne kiya
"Most of the critics wasn't too fond of it, but CinemaScore have it a rating of B, which I feel is about right for this film!",bhote se critics ko ye pasand nhi tha par cinemascore mai rating B thi muje lgta hai ye sahi thi
Have you seen it?,kya tumne dekhi hai
"I have and would grade it a solid B, just as CinemaScore did. Are you a fan of director Zack Snyder?","Maine is solid B grade karta, jaise k CinemaScore ne kiya. Kya tum director Zack Snyder k fan ho?"
I'm not sure. What other movies has he directed? ,"Main sure nahi hu, usne aur kaunsi movies direct ki hai?"
He directed Batman vs Superman. The film takes place 18 months after the battle between General Zod and Superman. Superman becomes a controversial figure while Clark Kent learns of Batman's form of justice and seeks to expose him via Daily Planet articles. ,Usne Batman V Superman direct ki hai. Wo movie General Zod aur Superman k battle k 18 month baad hoti hai. Superman ek controversial figure ban jata hai aur Clark Kent ko Batman k Justice k tareeke k baare me pata chalta hai aur wo use Daily Planet k articles me expose karna chahta hai
Has he directed anything else besides the Batman or Superman movies?,Kya usne Batman aur Superman movie k alawa kuch direct kiya hai?
I can't honestly say. I know he directed this film while David S. Goyer and Chris Terrio cowrote it. ,"Honestly, main bol nahi sakta hai. Mujhe pata hai k usne ye film direct ki hai aur David S. Goyer aur Chris Terrio ne write ki hai"
Batman and Superman are enemies in this film? ,Kya Batman aur Superman is film me enemies hai?
"They are - Lex Luthor, who is obsessed with defeating Superman, basically manipulates them into fighting each other.","Wo hai. Lex Luthor jo Superman ko harane ko lekar obsessed hai , basically dono ko ek dusre ko fight karne me manipulate kar deta hai."
Whose side is Wonder Woman on?,Wonder Woman kis side pe rahti hai.
